Opponent,Chi 1Q,Chi 2Q,Chi 3Q,Chi 4Q,Chi OT, Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q,Opp OT
Detroit Lions, 3, 3, 0, 21, 0, 3, 10, 10, 0, 0
New York Giants, 10, 7, 0, 0, 0, 0, 0, 3, 10,0
Atlanta Falcons, 3, 7, 0, 20, 0, 6, 10, 10, 0, 0
Indianapolis Colts, 0, 3, 0, 8, 0, 7, 6, 3, 3, 0
Tampa Bay Buccaneers, 0, 14, 0, 6, 0, 10, 3, 3, 3, 0
Carolina Panthers, 7, 6, 7, 3, 0, 3, 3, 0, 10, 0
LA Rams, 0, 3, 0, 7, 0, 7, 3, 14, 0, 0
NO Saints, 3, 10, 0, 10, 0, 3, 7, 6, 7, 3
Tennessee Titans, 0, 0 ,0, 17, 0, 3, 7, 7, 7, 0
Minnesota Vikings, 3, 3, 7, 0, 0, 7, 0, 6, 6, 0
GB Packers, 3, 7, 0, 15, 0, 6, 21, 14, 0, 0
Detroit Lions, 9, 14, 0, 7, 0, 6, 7, 7, 14, 0
Houston Texans, 7, 23, 3, 3, 0, 0, 7, 0, 0, 0
Minnesota Vikings, 10, 10, 7, 6, 0, 7, 3, 10, 7, 0
Jacksonville Jaguars, 7, 6, 21, 7, 0, 3, 7, 0, 7, 0
GB Packers, 7, 6, 3, 0, 0, 0, 21, 0, 14, 0
